"id","org_name","event_name","event_description","event_start_date","event_end_date","days_of_week","start_time","end_time","more_info","fee","admission_price","site_location_name","event_photo","category","subcategory","age_group_eligibility_tags","race_ethnicity_eligibility_tags","special_needs_eligibility_tags","sogi_eligibility_tags","language_eligibility_tags","site_address","site_phone","site_email","latitude","longitude","point","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"40414_rpd","SF Rec Park","Pickleball - Women's Beginning /Intermediate","Come    play the fastest growing sport in America. Pickleball is a combination of    tennis, ping pong, and badminton. It’s a super fun game & is easy to    learn.  This class is open to beginner and intermediate players.","2025/10/28 12:00:00 AM","2025/12/16 12:00:00 AM","T","14:00:00","15:00:00","sfrecpark.org/register","true",,"MOSCONE REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation",,"TAY",,,,,"1800 Chestnut St @ Buchanan St","(415) 292-2045",,"37.801422","-122.4331875","POINT (-122.4331875 37.801422)","Marina","2","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39907_rpd","SF Rec Park","Archery Thanksgiving Camp","Archery    & Adventure Camp is a unique and inclusive camp at the oldest archery    range in the country! Your child will learn basic archery skills using    recurve & compound bows along with all necessary shooting & safety    equipment provided. USA Archery certified instructors will provide the proper    techniques, help build hand/eye coordination, and self-confidence in a fun    and safe environment. Other activities include various field sports games,    archery-themed arts and crafts projects, offsite field trips, and Archery Tag    on the last day at Ocean Beach! Drop off & Pick up is at Cabrillo    Playground.","2025/11/24 12:00:00 AM","2025/11/26 12:00:00 AM","M,T,W","09:00:00","16:00:00","sfrecpark.org/register","true",,"CABRILLO PLGD","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Day Camp","Children; Pre-Teens; Teens",,,,,"851 38th Ave @ Cabrillo Ave","(415) 831-2700",,"37.772874","-122.4987165","POINT (-122.4987165 37.772874)","Outer Richmond","1","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39730_rpd","SF Rec Park","Level 3","This class builds on the skills learned in Levels 1 and 2. Participants learn to swim the front crawl and elementary backstroke at rudimentary proficiency levels and are introduced to the scissors and dolphin kicks. Participants learn the survival float and increase the time duration for treading water. Participants also learn the rules for headfirst entries and begin to learn to enter the water headfirst from a seated position at poolside (if the water is 9 feet deep or deeper). On successful completion of Level 3, participants have achieved basic water competency in a pool environment. Prerequisite: Successful completion of Level 2. Children must be 48 to participate.  Registration is limited to one swim class per participant.","2025/11/12 12:00:00 AM","2025/12/12 12:00:00 AM","W,F","17:00:00","17:30:00","sfrecpark.org/register","true",,"BALBOA SWIMMING POOL","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Swimming","Children; Pre-Teens; Teens; TAY",,,,,"51 Havelock Ave","(415) 337-4701",,"37.726730859","-122.44262625638","POINT (-122.442626256 37.726730859)","Outer Mission","11","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39528_rpd","SF Rec Park","Stress Management and Meditation","Reduce    stress and live with greater ease through this tested and well-established    mindfulness meditation program. Cultivate self-awareness. Respond rather than    react to stress. Change habitual reactivity patterns. This class can help if    stress negatively impacts your life or if you are simply interested in    learning ways to maintain health and well-being.  New or old to    meditation all are welcome.","2025/09/03 12:00:00 AM","2025/10/08 12:00:00 AM","W","13:30:00","14:30:00","sfrecpark.org/register","true",,"GLEN CANYON REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Physical Fitness","TAY",,,,,"70 Elk St","(415) 337-4705",,"37.736199","-122.4400455","POINT (-122.4400455 37.736199)","Glen Park","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"39936_rpd","SF Rec Park","Camp In, Climb On Overnight","Calling    all young explorers! Join us for a night of outdoor fun at Glen Park Rec    Center. Designed for ages 8-12, this exciting overnight adventure will teach    camping basics like pitching a tent (with tents provided), cooking a    camping-style dinner, and sleeping under the stars (indoors, of course!).    We’ll also hit the trails for a canyon hike and try some indoor rock climbing    with all gear provided. Our certified staff will lead the way, ensuring a    safe and fun experience. Snacks and dinner are provided—just bring your    adventure spirit!","2025/12/20 12:00:00 AM","2025/12/20 12:00:00 AM","Sa","18:00:00","10:00:00","sfrecpark.org/register","true",,"GLEN CANYON REC CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Sports & Recreation","Outdoors","Children; Pre-Teens; Teens",,,,,"70 Elk St","(415) 337-4705",,"37.736199","-122.4400455","POINT (-122.4400455 37.736199)","Glen Park","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"40004_rpd","SF Rec Park","Basic Black and White Film Development","Learn    the basics of black and white film development. In this quick workshop    students will be taught how to properly process their black and white film.    35mm and 120 film development will all be explained. Students must bring in a    black and white roll of film ready for development. There are no    prerequisites and beginners are encouraged to sign-up. No class time will be    spent in the darkroom and color film development will not be addressed in    this course. Photo Center Orientation is required for darkroom.","2025/10/24 12:00:00 AM","2025/10/24 12:00:00 AM","F","15:00:00","17:30:00","sfrecpark.org/register","true",,"HARVEY MILK PHOTO CENTER","https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg","Arts, Culture & Identity","Photography","TAY",,,,,"50 Scott St","(415) 554-9522",,"37.769499","-122.434623","POINT (-122.434623 37.769499)","Haight Ashbury","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"131497_sfpl","SF Public Library","Activity: Sugar Skull Masks","Celebrate the Day of the Dead by making a sugar skull-inspired mask. For children and their caregivers.","2025/11/01 12:00:00 AM","2025/11/01 12:00:00 AM",,"14:30:00","15:30:00","https://sfpl.org/events/2025/11/01/activity-sugar-skull-masks","false",,"Noe Valley/Sally Brunn","https://sfpl.org//sites/default/files/topics/Viva%2025_Digital%20assets_Website%20Banner%20-%201440px%20X%20720px-.jpg","Arts, Culture & Identity","Arts and Creative Expression, STEM","Children/Pre-Teens (Ages 5-13), Families with children below 18 years old","Hispanic/Latinx",,,,"451 Jersey Street","415-355-5707","nvamgr@sfpl.org","37.750302","-122.435118","POINT (-122.435118 37.750302)","Noe Valley","8","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"100462_sfpl","SF Public Library","Storytime: For Babies","Songs, rhymes and books for infants and their caregivers.&nbsp;  Learn more about storytimes with SFPL, including current offerings, at…","2025/11/04 12:00:00 AM","2025/11/04 12:00:00 AM",,"10:15:00","10:45:00","https://sfpl.org/events/2025/11/04/storytime-babies-0","false",,"North Beach","https://sfpl.org//sites/default/files/topics/StorytimeforBabies.jpg","Education",,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,"850 Columbus Avenue","415-355-5626","nbemgr@sfpl.org","37.802601","-122.413284","POINT (-122.413284 37.802601)","North Beach","3","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"121043_sfpl","SF Public Library","Book Club: Discuss Talking Books from Braille &amp; Audio Reading Download Service","Join other Blind and Low-Vision patrons to discuss Talking Books from BARD's National Library Service, a division of the Library of Congress. Space…","2025/10/09 12:00:00 AM","2025/10/09 12:00:00 AM",,"15:00:00","16:30:00","https://sfpl.org/events/2025/10/09/book-club-discuss-talking-books-braille-audio-reading-download-service","false",,"Main Library","https://sfpl.org//sites/default/files/topics/DisabilityAccessibilityInterest.jpg","Arts, Culture & Identity",,"TAY (Ages 18-24)",,"Special Needs/Disabilities",,,"100 Larkin Street","415-557-4400","info@sfpl.org","37.779354","-122.4158715","POINT (-122.4158715 37.779354)","Tenderloin","5","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
"121188_sfpl","SF Public Library","Storytime: For Toddlers","Books, songs, movement and more. For toddlers 16 months through age 2 and their caregivers.&nbsp;  Learn more about storytimes with SFPL, including…","2025/10/27 12:00:00 AM","2025/10/27 12:00:00 AM",,"11:30:00","12:30:00","https://sfpl.org/events/2025/10/27/storytime-toddlers-0","false",,"Ingleside","https://sfpl.org//sites/default/files/topics/StorytimeforToddlers.jpg","Education",,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,"1298 Ocean Avenue","415-355-2898","ingmgr@sfpl.org","37.724058","-122.4562905","POINT (-122.4562905 37.724058)","West of Twin Peaks","7","2025/10/07 12:00:00 AM","2025/10/07 07:04:13 AM"
