column,pandas_dtype,num_unique,non_null_count
id,object,2039,2039
org_name,object,14,2026
event_name,object,812,2039
event_description,object,822,1997
event_start_date,object,95,2039
event_end_date,object,82,2039
days_of_week,object,30,951
start_time,object,52,2039
end_time,object,54,2039
more_info,object,1089,2039
fee,object,2,1833
admission_price,float64,0,0
site_location_name,object,113,2024
event_photo,object,316,1912
category,object,8,2027
subcategory,object,63,1199
age_group_eligibility_tags,object,41,1867
race_ethnicity_eligibility_tags,object,5,71
special_needs_eligibility_tags,object,1,12
sogi_eligibility_tags,object,4,71
language_eligibility_tags,object,5,206
site_address,object,106,1993
site_phone,object,70,1903
site_email,object,35,953
latitude,float64,101,1901
longitude,float64,101,1901
point,object,101,1901
analysis_neighborhood,object,35,1901
supervisor_district,float64,11,1901
data_as_of,object,1,2039
data_loaded_at,object,1,2039
