count,count
nan,840
Swimming,202
Playgroups,121
Physical Fitness,97
Crafting,88
"Arts and Creative Expression, STEM",86
Visual Arts,61
Support Groups,55
"Computer Class, Digital Software, Skills & Training",44
Writing,41
After and Before School Care,34
STEM,29
Parent Education,28
Arts and Creative Expression,27
"Dance, Music",24
"College Prep, Skills & Training",24
Outdoors,20
Kayaking,18
"Dance, Digital Media Production, Music",17
Movies,13
Photography,13
Day Camp,13
Team Sports; Physical Fitness; Summer Programs; Outdoors; Gardening,12
"Arts and Creative Expression, Photography",12
Team Sports; Summer Programs; Physical Fitness; Outdoors,10
"Arts and Creative Expression, Writing",10
Culinary Arts,9
Disability Support,7
Digital Media Production; Technology,7
Culinary Arts; Nutrition Education,6
"Parent Education, Writing",5
"Arts and Creative Expression, College Prep, Photography, STEM, Skills & Training",4
"Gardening, Outdoors",4
LGBTQ+ Support,4
Dance; Arts and Creative Expression; Culinary Arts,4
"Arts and Creative Expression, Gardening, Outdoors, STEM",4
Team Sports; Summer Programs,3
"Parent Education, Playgroups",3
Summer Programs,3
Team Sports; Physical Fitness; Summer Programs; Outdoors,3
"Arts and Creative Expression, LGBTQ+ Support, Photography",2
Dance; Summer Programs,2
Team Sports,2
Team Sports; Summer Programs; Physical Fitness; Outdoors; Gardening,2
"Arts and Creative Expression, STEM, Writing",2
Gardening,2
Summer Programs; Physical Fitness,2
"Child Welfare Services, Parent Education",2
Team Sports; Physical Fitness,2
Dance,2
"Arts and Creative Expression, LGBTQ+ Support, STEM",1
Summer Programs; Team Sports,1
"Dance, Movies, Music",1
"Arts and Creative Expression, Dance, Music, STEM",1
"Arts and Creative Expression, Computer Class, Digital Software, Skills & Training",1
"Dance, Music, Summer Programs",1
"Arts and Creative Expression, Outdoors, Photography",1
"STEM, Summer Programs",1
"Arts and Creative Expression, Support Groups",1
"Arts and Creative Expression, Dance, Digital Media Production, Music",1
"Arts and Creative Expression, Outdoors, STEM",1
Summer Programs; Dance,1
"Arts and Creative Expression, Photography, STEM, Writing",1
"Arts and Creative Expression, LGBTQ+ Support",1
